132841065171224690972205094635228679072	de	neutral	LisaBerlin1 (22) 1xxxx - Berlin:  Geschlecht female Alter 22 PLZ 1xxxx Stadt Berlin Lang DE Beziehung none Nei... http://t.co/RJkedodVje
138403684327096156994643593987079854439	de	neutral	Was macht Noni Thrive Max so einzigartig? http://t.co/zhbwjdyg0M
50368858694337834107566971578294842045	de	neutral	Pferdeanzeigen: Artiger PRE-Hengst sucht durchsetzungsstarke, aber liebevolle Reitbeteiligung (5... http://t.co/2Ngdawtweh Pferde kaufen
152360353826508439184785599066844192624	de	neutral	Im Herbst aktuell: \"Versicherungsexperten\". Unterschreiben Sie nichts, wirklich nichts! http://t.co/ayep79sOxR #Krankenkasse
89585052238549432595198038262761029047	de	neutral	@derrickcuse @AnnaDavlantes @BrandieMalay @CandidCandace @ChrisOrange13 @Derrickcyoung @viviemy @KoriOnAir #Celebrate!
176986653732125610948334240910380098487	de	positive	@1D_Deutschland Macht alle mit :D Namen zu Liam Payne ändern. Icon von ihm nemen. Unfollow Liam und followe ihn morgen (ab 0h) back :D
45487244723677822835992401588366971865	de	positive	Darf heute wieder vor 80 Leuten ne Rede schwingen.
170170404478254803368132117064937881267	de	neutral	Personalkapazitäten frei! Veranstaltungspersonal buchen! #Veranstaltungstechnik #Personal #Bundesweit
215465747201566097939502006368659074852	de	neutral	Das kostenlose 3D Social Chat Game! Einsam? Bei Club Cooee findest du dein Gegenstück! Triff neue Leute zum... http://t.co/TVL1FmQhsT
148851003442111066399255338475121195273	de	negative	Boah, keinen Bock mehr, ey.
200439744900408224280806141116849673495	de	neutral	\"Ich werd mal lieber gehen.\" ALTER RYAN, WENN DU JODIE JETZT ALLEINE LÄSST EY #BTS17
288896830714925361510994514931425511744	de	neutral	Digital! Zahlen scheinen #Springer recht zu geben http://t.co/gyPSZv5NxH
232210228777715323447915392895860321453	de	positive	Gute nacht liebe TL mir fallen schon die Augen zu:)) http://t.co/WWcNEE456j
337994581591149434314138467438564259449	de	neutral	Naturheilen-online Schweiz hier finden Sie die besten Naturheiler und Heilpraktiker aus der Schweiz http://t.co/YsKhShSIkJ
277172392144219262975574127814908260812	de	neutral	Ich muss morgen unseren Computer anschließen. Wahrscheinlich brauchen wir dann nen neuen... #Arbeit
15201169560703629367777905985486933397	de	negative	.@sat1 @TheCraftingStu #Es #Reicht #Auch #Wenn #Ihr #Weniger #Hashtags #nutzt. Außderdem macht ihr euch mit Y-Titty nur lächerlich.
303397892910120374427734681858962321770	de	positive	Nicht mehr viel bis zu den 600 Followern. Ihr seid doch verrückt. ?
